Параметр: fid,ID товара,ID варианта
MOD555PL-L30CH5K___maytoni,277867831,486486545
FR6005LS-01B___maytoni,277867855,486486577
MIR014WL-L12C3K___maytoni,277867859,486486581
MOD004WL-L5CE3K___maytoni,277867875,486486602
10153___maytoni,277867883,486486616
FR2027PL-03BS___maytoni,277867889,486486620
FR2028PL-07N___maytoni,277867897,486486631
O415FL-L15B3K___maytoni,277867904,486486638
MIR011WL-L9S4K___maytoni,277867920,486486655
FR4005PL-06B1___maytoni,277867935,486486675
FR5104PL-06N___maytoni,277867946,486486686
MOD004PL-L5W3K___maytoni,277867953,486486696
10187___maytoni,277867974,486486723
MOD313PL-01CH___maytoni,277867979,486486727
10147___maytoni,277867989,486486739
MOD007WL-01G___maytoni,277867994,486486748
FR5098PL-08BBS___maytoni,277868003,486486758
MOD001PL-01TR___maytoni,277868011,486486765
O576FL-01GR1___maytoni,277868024,486486792
10146___maytoni,277868038,486486811
P054PL-01B1___maytoni,277868042,486486815
10139___maytoni,277868056,486486829
MOD099WL-01G___maytoni,277868060,486486834
FR5167PL-09BS___maytoni,277868074,486486848
MOD001PL-01GR___maytoni,277868100,486486879
MOD302PL-01CG___maytoni,277868109,486486889
MOD313WL-01G___maytoni,277868118,486486900
FR5050WL-01BS___maytoni,277868158,486486940
FR5036PL-08N___maytoni,277868167,486486951
FR2027TL-01BS___maytoni,277868180,486486964
MOD099PL-06G___maytoni,277868187,486486971
MOD313PL-06G___maytoni,277868201,486487003
O413PL-01BZ___maytoni,277868219,486487027
FR5053PL-08BS___maytoni,277868226,486487037
MOD303PL-01CFL3___maytoni,277868245,486487056
O419WL-02B___maytoni,277868259,486487082
MOD555TL-L9CH5K___maytoni,277868273,486487101
10144___maytoni,277868301,486487147
FR2027PL-07BS___maytoni,277868305,486487153
10132___maytoni,277868314,486487163
O416FL-L3GR3K1___maytoni,277868319,486487169
O413PL-01GB___maytoni,277868333,486487184
MOD048WL-01G___maytoni,277868342,486487204
O414FL-01GB___maytoni,277868364,486487226
FR5167PL-12BS___maytoni,277868398,486487261
FR1007PL-12N___maytoni,277868449,486487334
MOD070PL-L48W3K___maytoni,277868463,486487348
FR2027PL-07N___maytoni,277868481,486487370
FR1007TL-01N___maytoni,277868490,486487382
