Группа параметра,1 уровень,2 уровень,,id старый,id новый,Название,Maytoni,Ledron,LIGHTSTAR,MANTRA,SWG,Elevel,Isonex,,,Настройки-Параметры товаров-Отображать в навигации,Настройки-Параметры товаров-Не отображать в карточке товара,Настройки-Параметры товаров-Автоматическая сортировка
Форма,2,11,,,,"Диаметр, мм",,,,,,Наруж. диаметр,,,,,,Автоматическая сортировка
Форма,2,14,,91,183,Цвет корпуса/арматуры,ЦветАрматуры,Цвет корпуса,Цвет арматуры,Цвет арматуры,Цвет корпуса [cvet_korpusa],Цвет корпуса,Цвет арматуры,,,,,Автоматическая сортировка
Форма,2,14,,,,Цвет корпуса/арматуры,,,,,,Цвет,,,,,,Автоматическая сортировка
Форма,2,15,,новый,184,Цвет по RAL,,,,,,Цвет по RAL,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,15,,,,Цвет по RAL,,,,,,Номер цвета RAL,,,,Не отображать в общем фильтре,Не отображать в карточке товара,Автоматическая сортировка
Форма,2,16,,97,185,Цвет чаш,,,Цвет чаш,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,16,,93,186,Цвет хрусталя,ЦветХрусталя,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,17,,96,187,Цвет рожков,,,Цвет рожков,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,18,,98,188,Цвет провода,,,Цвет провода,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,19,,95,189,Цвет подвесок,,,Цвет подвесок,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,20,,31,190,Цепь,Цепь,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,21,,32,191,"Длина цепи, мм",ДлинаЦепи,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,22,,122,192,"Длина чаши крепления, мм",ДлинаЧашиКрепления,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,23,,79,193,"Длина провода, см",,,,,"Длина провода, см [dean_wire]",,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,24,,90,194,"Длина провода, мм",,,"Длина провода, мм",,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,25,03/22/2022,,195,"Длина подвеса, мм",,,,,,Длина подвеса,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,26,03/22/2022,,196,"Длина подвеса (до), мм",,,,,,Длина подвеса (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,30,,123,197,"Диаметр чаши крепления, мм",ДиаметрЧашиКрепления,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,31,03/22/2022,,198,"Диаметр монтажный (встраив.), мм",,,,,,Диаметр монтажный (встраив.),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,32,,121,199,"Ширина чаши крепления, мм",ШиринаЧашиКрепления,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,33,,116,200,"Ширина СпМ, мм",,,"Ширина СпМ, мм",,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,34,,117,201,"Ширина макс, мм",,,"Ширина макс, мм",,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,35,,99,202,Материал корпуса/арматуры,МатериалАрматуры,Материал корпуса,Материал арматуры,Материал арматуры,Материал [material],Материал корпуса,Материал арматуры,,,,,Автоматическая сортировка
Форма,2,36,,,,Материал корпуса/арматуры,,,,,,Материал,,,,,,Автоматическая сортировка
Форма,2,37,,102,203,Материал чаш,,,Материал чаш,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,38,,101,204,Материал рожков,,,Материал рожков,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,39,,,205,Материал растра/решетки,,,,,,Материал растра/решетки,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,40,,,206,Материал рассеивателя/крышки,,,,,,Материал рассеивателя/крышки,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,41,,100,207,Материал подвесок,,,Материал подвесок,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,120,208,Форма чаши крепления,ФормаЧашиКрепления,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,209,Форма,,,,,,Форма,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,03/22/2022,,210,"Угол сканирования, град.",,,,,,Угол сканирования,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,142,211,"Угол поворота по горизонтали, °",,,"Угол поворота по горизонтали, °",,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,141,212,"Угол поворота по вертикали, °",,,"Угол поворота по вертикали, °",,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,03/22/2022,,213,"Угол обнаружения по горизонтали, град.",,,,,,Угол обнаружения по горизонтали,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,03/22/2022,,214,"Угол обнаружения по горизонтали (до), град.",,,,,,Угол обнаружения по горизонтали (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,215,Тип ПРА,,,,,,Тип ПРА,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,216,Суппорт (опорное кольцо),,,,,,Суппорт (опорное кольцо),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,217,Со шторками (защита от прикосновения),,,,,,Со шторками (защита от прикосновения),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,218,Символы/индикация,,,,,,Символы/индикация,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,219,С торцевой заглушкой,,,,,,С торцевой заглушкой,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,220,С подвесом в комплекте,,,,,,С подвесом в комплекте,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,221,С защитной решеткой/ сеткой/ экраном,,,,,,С защитной решеткой/ сеткой/ экраном,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,222,Регулируемый по высоте,,,,,,Регулируемый по высоте,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,223,Регулируемый (настраиваемый),,,,,,Регулируемый (настраиваемый),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,224,"Размеры блока, мм",,,,,"Размеры блока, мм [razmery_bloka]",,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,225,Размеры,,,,,,Размеры,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,226,Прозрачный,,,,,,Прозрачный,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,81,227,"Полость под блок питания, мм",,,,,"Полость под блок питания, мм [Polost_BP]",,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,228,Повёрнутая центральная вставка,,,,,,Повёрнутая центральная вставка,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,229,Отражатель (рефлектор),,,,,,Отражатель (рефлектор),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,140,230,"Направление рожков, Вверх/Вниз",,,"Направление рожков, Вверх/Вниз",,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,89,231,Наличие выключателя,,,Наличие выключателя,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,88,232,Наличие вилки,,,Наличие вилки,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,233,Модель исполнения,,,,,,Модель исполнения,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,03/22/2022,,234,"Макс. дальность действия фронтально, м",,,,,,Макс. дальность действия фронтально,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,235,Лицевая накладка,,,,,,Лицевая накладка,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,236,Количество тепловых выходов,,,,,,Количество тепловых выходов,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,237,Количество соединительных кабелей,,,,,,Количество соединительных кабелей,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,238,Количество свободных позиций модуля,,,,,,Количество свободных позиций модуля,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,239,Количество розеток RJ45,,,,,,Количество розеток RJ45,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,240,Количество розеток,,,,,,Количество розеток,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,139,241,"Количество рожков, шт",,,"Количество рожков, шт (если 0 - нет)",,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,242,Количество разъемов,,,,,,Количество разъемов,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,243,Количество постов по горизонтали,,,,,,Количество постов по горизонтали,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,244,Количество постов по вертикали,,,,,,Количество постов по вертикали,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,245,Количество постов (мест),,,,,,Количество постов (мест),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,246,Количество постов,,,,,,Количество постов,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,247,Количество полюсов,,,,,,Количество полюсов,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,248,Количество подключений спутник/телевизор (SAT/TV),,,,,,Количество подключений спутник/телевизор (SAT/TV),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,249,Количество подключений для передачи данных,,,,,,Количество подключений для передачи данных,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,250,Количество отключаемых розеток,,,,,,Количество отключаемых розеток,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,251,Количество модулей по горизонтали (для модульных серий),,,,,,Количество модулей по горизонтали (для модульных серий),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,252,Количество модулей по вертикали (для модульных серий),,,,,,Количество модулей по вертикали (для модульных серий),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,253,"Количество модулей в связке, шт",,,,,"Количество модулей в связке, шт [kolvo_moduley_v_svyazke]",,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,254,Количество модулей (для модульных серий),,,,,,Количество модулей (для модульных серий),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,255,Количество модулей,,,,,,Количество модулей,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,256,Количество коннекторов 6 категории (CAT6),,,,,,Количество коннекторов 6 категории (CAT6),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,257,Количество коаксиальных розеток IEC 60169-2,,,,,,Количество коаксиальных розеток IEC 60169-2,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,258,Количество клавиш/ кнопок,,,,,,Количество клавиш/ кнопок,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,новый,259,Количество клавиш (кнопок),,,,,,Количество клавиш,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,,Количество клавиш (кнопок),,,,,,Количество клавиш/кнопок,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,260,Количество выходов охлаждения,,,,,,Количество выходов охлаждения,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,261,Количество активных контактов (плоский),,,,,,Количество активных контактов (плоский),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,262,Количество активных контактов (круглый),,,,,,Количество активных контактов (круглый),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,263,Количество USB-разъемов,,,,,,Количество USB-разъемов,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,264,Запираемый (-ая),,,,,,Запираемый (-ая),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,124,265,"Высота чаши крепления, мм",ВысотаЧашиКрепления,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,266,Возможность покрытия теплоизоляционным материалом,,,,,,Возможность покрытия теплоизоляционным материалом,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,267,Возвратно-нажимной,,,,,,Возвратно-нажимной,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,268,Вид/ марка материала,,,,,,Вид/ марка материала,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,269,Вид растра/решетки,,,,,,Вид растра/решетки,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Форма,2,,,,270,Без перегородки,,,,,,Без перегородки,,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Плафон, абажур",3,,,129,271,"Ширина абажура  (плафона, декора), мм",ШиринаАбажура,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Плафон, абажур",3,,,,272,Цвет плафона/крышки,,,,,,Цвет плафона/крышки,,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Плафон, абажур",3,,,94,273,"Цвет абажура (плафона, декора)",ЦветАбажура,,Цвет плафона (Декора),Цвет плафона,,,Цвет плафона,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Плафон, абажур",3,,,125,274,"Форма абажура (плафона, декора)",ФормаАбажура,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Плафон, абажур",3,,,126,275,"Тип крепления абажура  (плафона, декора)",ТипКрепленияАбажура,,"Тип крепления плафона, На арматуру / На лампу",,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Плафон, абажур",3,,,137,276,"Радиус абажура (плафона, декора), мм",РадиусАбажура,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Плафон, абажур",3,,,133,277,"Нижняя ширина абажура (плафона, декора), мм",НижняяШиринаАбажура,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Плафон, абажур",3,,,135,278,"Нижняя длина абажура (плафона, декора), мм",НижняяДлинаАбажура,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Плафон, абажур",3,,,131,279,"Нижний диаметр абажура (плафона, декора), мм",НижнийДиаметрАбажура,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Плафон, абажур",3,,,127,280,"Материал абажура  (плафона, декора)",МатериалАбажура,,Материал плафона (Декора),Материал плафона,,Материал плафона/рассеивателя,Материал плафонов,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Плафон, абажур",3,,,48,281,"Коэфф пропускания плафоном света, 0-1",,,"Коэфф пропускания плафоном света, 0-1",,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Плафон, абажур",3,,,138,282,"Количество плафонов (декор элем встройки), шт",,,"Количество плафонов (декор элем встройки), шт (если 0 - нет)",,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Плафон, абажур",3,,,130,283,"Длина абажура (плафона, декора), мм",ДлинаАбажура,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Плафон, абажур",3,,,136,284,"Диаметр абажура (плафона, декора), мм",ДиаметрАбажура,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Плафон, абажур",3,,,128,285,"Высота абажура (плафона, декора), мм",ВысотаАбажура,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Плафон, абажур",3,,,132,286,"Верхняя ширина абажура (плафона, декора), мм",ВерхняяШиринаАбажура,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
"Плафон, абажур",3,,,134,287,"Верхняя длина абажура (плафона, декора), мм",ВерхняяДлинаАбажура,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Оптические,4,0,,43,288,"Индекс цветопередачи CRI, RA",ИндексЦветопередачи,,,,CRI [CRI],Индекс цветопередачи (Ra),,,,,,Автоматическая сортировка
Оптические,4,1,,44,289,"Цветовая температура, K",ЦветоваяТемпература,Цветовая температура,"Цветовая темп., К",Цветовая температура,"Цветовая температура, K [LOW_EMISSION]",Цветовая температура,"Цветовая температура, К",,,,,Автоматическая сортировка
Оптические,4,1,,,,"Цветовая температура, K",,,,,,"Цветовая температура, K",,,,,,Автоматическая сортировка
Оптические,4,2,03/22/2022,,290,"Цветовая температура (до), K",,,,,,Цветовая температура (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Оптические,4,3,,,291,Цветность света по стандарту EN 12464-1,,,,,,Цветность света по стандарту EN 12464-1,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Оптические,4,3,,45,292,Цвет свечения,,,,Цвет освещения,Цвет свечения [EMISSION_COLOR],Цвет света,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Оптические,4,3,,,,Цвет свечения,,,,,,Цвет свечения,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Оптические,4,4,,40,293,"Световой поток, Лм (для лент Лм/м)",СветовойПоток,Световой поток,"Световой поток, лм (для лент Лм/м)","Световой поток, Lm","Световой поток, Лм [light_flow]",Световой поток,"Световой поток, Лм",,,,,Автоматическая сортировка
Оптические,4,4,,,,"Световой поток, Лм (для лент Лм/м)",,,,,,Световой поток на метр погонный,,,,,,Автоматическая сортировка
Оптические,4,4,,,,"Световой поток, Лм (для лент Лм/м)",,,,,,"Световой поток, Лм",,,,,,Автоматическая сортировка
Оптические,4,5,03/22/2022,,294,"Световой поток (до), Лм (для лент Лм&#47;м)",,,,,,Световой поток (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Оптические,4,5,,,,"Световой поток (до), Лм (для лент Лм&#47;м)",,,,,,"Световой поток (до), Лм (для лент Лм/м)",,,,Не отображать в общем фильтре,,Автоматическая сортировка
Оптические,4,6,,,295,"Световой поток на модуль, Лм",,,,,"Световой поток на модуль, Лм [svetovoy_potok_modul]",,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Оптические,4,7,,,295,"Номинал. световой поток в соотв. IEC 62722-2-1, Лм (для лент Лм/м)",,,,,,"Номинал. световой поток в соотв. IEC 62722-2-1, Лм (для лент Лм/м)",,,,Не отображать в общем фильтре,,Автоматическая сортировка
Оптические,4,7,03/22/2022,,296,"Номинал. световой поток в соотв. IEC 62722-2-1, Лм (для лент Лм&#47;м)",,,,,,Номинал. световой поток в соотв. IEC 62722-2-1,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Оптические,4,,,47,297,Угол свечения,,,,,Угол свечения [ugol_svecheniya],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Оптические,4,,,42,298,"Угол рассеивания, град.",УголРассеивания,,"Угол рассеивания рефлектора, °",,Угол рассевиания [VIEWING_ANGLE],Угол светового пучка,"Угол рассеивания, град",,,,,Автоматическая сортировка
Оптические,4,,,,,"Угол рассеивания, град.",,,,,,Угол светового излучения,,,,,,Автоматическая сортировка
Оптические,4,,,,299,Светораспределение,,,,,,Светораспределение,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Оптические,4,,,,300,Раздельное управление прямым и отраженным светом,,,,,,Раздельное управление прямым и отраженным светом,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Оптические,4,,,,301,Количество световых точек,,,,,,Количество световых точек,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Оптические,4,,,,302,Категория цветности света,,,,,,Категория цветности света,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Оптические,4,,,,303,Выход светового потока,,,,,,Выход светового потока,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Лампы,5,,,37,304,Цоколь,Цоколь,Цоколь,Цоколь ламп,Тип цоколя,Цоколь [cokol],Цоколь (патрон) лампы,Цоколь,,,,,Автоматическая сортировка
Лампы,5,,,,,Цоколь,,,,,,Цоколь,,,,,,Автоматическая сортировка
Лампы,5,,,,,Цоколь,,,,,,Тип цоколя,,,,,,Автоматическая сортировка
Лампы,5,,,,305,Форма лампы/колбы,,,,,,Форма лампы/колбы,Тип колбы лампы,,,Не отображать в общем фильтре,,Автоматическая сортировка
Лампы,5,,,,,Форма лампы/колбы,,,,,,Форма лампы/колбы.,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Лампы,5,,,39,306,Типоразмер лампы,,,Типоразмер лампы,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Лампы,5,,,144,307,Тип светодиодов,,,Тип светодиодов,,Тип светодиода [tip_svetodioda],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Лампы,5,,,146,308,Размер светодиодов,,Размер светодиода,,,Размер светодиода [razmer_svetodioda],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Лампы,5,,,,309,Обозначение лампы,,,,,,Обозначение лампы,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Лампы,5,,,151,310,Максимальная ширина ленты,,,,,Максимальная ширина ленты [maksimalnaya_shirina_lenty],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Лампы,5,,,36,311,Лампа в комплекте,ЛампыВКомплекте,Лампа в комплекте,,Лампы в комплекте,,С ламп. (источником света) в комплекте,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Лампы,5,,,149,312,"Кратность резки, мм",,,"Кратность отреза, мм",,"Кратность резки, мм [kratnost_rezki]",Длина модуля резки,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Лампы,5,,03/22/2022,,,"Кратность резки, мм",,,,,,Кратность резки,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Лампы,5,,,150,313,"Кратность резки, LED",,,,,"Кратность резки, LED [kratnost_rezki_led]",,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Лампы,5,,,145,314,Количество светодиодов,,,,,Количество светодиодов [NUMBER_OF_LEDS],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Лампы,5,,,148,315,Количество рядов,,,,,Количество рядов [kolichestvo_ryadov],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Лампы,5,,,147,316,"Кол-во светодиодов, шт/м",,,Кол-во LED на метр,,"Кол-во светодиодов, шт/м [kol_vo_svetodiodov_shtm]",Количество источников света на 1 метр погонный,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Лампы,5,,,38,317,"Кол-во ламп, шт",КоличествоЛамп,,"Количество ламп, шт",Количество ламп,,Количество ламп (источников света),Количество ламп,,,,,Автоматическая сортировка
Лампы,5,,,,,"Кол-во ламп, шт",,,,,,Количество ламп,,,,,,Автоматическая сортировка
Лампы,5,,,,318,Кол-во диодов на сегмент,,,,,Кол-во диодов на сегмент [diod_segment],,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Лампы,5,,,,319,Значения мощности ламп с мультиваттным ЭПРА,,,,,,Значения мощности ламп с мультиваттным ЭПРА,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Лампы,5,,,152,320,"Длина катушки, мм ",,,,,"Длина, мм [dlina_katushki]",,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Лампы,5,,,,321,"Встроенные светодиоды, Да/Нет",,,"Встроенные светодиоды, Да/Нет",,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Лампы,5,,,46,322,Аналог лампы накаливания,АналогЛампыНакаливания,,,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Лампы,5,,,143,323,"Max длина светодиодной ленты, м",,,"Max длина низковольтной линии (светодиодной ленты), м",,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,1,,50,324,"Пылевлагозащита, IP",ingress_protection_rating,Степень защиты IP,"Пылевлагозащита, IP","Степень защиты, IP","Степень защиты, IP [PROTECTION_LEVEL]",Степень защиты (IP),"IP, степень пылевлагозащиты",,,,,Автоматическая сортировка
Электрические,6,1,,,,"Пылевлагозащита, IP",,,,,,Степень защиты IP,,,,,,Автоматическая сортировка
Электрические,6,2,22.03.22 изменил название,52,325,"Напряжение, В",Напряжение,Напряжение,"Напряжение питания ламп, В",,"Рабочее напряжение, В [rabochee_napryazhenie]","Номин. напряжение, В",Напряжение,,,,,Автоматическая сортировка
Электрические,6,2,,,,"Напряжение, В",,,,,,Номин. напряжение,,,,,,Автоматическая сортировка
Электрические,6,2,22.03.22 изменил название,,,"Напряжение, В",,,,,,Напряжение,,,,,,Автоматическая сортировка
Электрические,6,2,22.03.22 изменил название,,,"Напряжение, В",,,,,,Номин. раб. напряжение,,,,,,Автоматическая сортировка
Электрические,6,3,,,326,Напряжение (до),,,,,,Напряжение (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,4,03/22/2022,,327,"Напряжение лампы, В",,,,,,Напряжение лампы,"Напряжение питания лампы, В",,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,5,,,328,Напряжение лампы (до),,,,,,Напряжение лампы (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,6,,53,329,"Мощность ламп, Вт",Мощность,Мощность,"Мощность лампы (Max), Вт","Мощность, W",,Мощность лампы,"Максимальная мощность лампы, Вт",,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,6,,,,"Мощность ламп, Вт",,,,,,Макс. мощность лампы,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,7,03/22/2022,,330,"Мощность лампы (до), Вт",,,,,,Мощность лампы (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,8,03/22/2022,,331,"Мощность, Вт",,,,,,Мощность,Мощность,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,8,,,332,Мощность (до),,,,,,Мощность (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,9,22.03.22 изменил название,Изменено название,333,"Общая мощность, Вт",,,"Суммарная мощность ЛОН, Вт","Общая мощность, W","Мощность, Вт [POWER]",Макс. мощность системы,"Общая мощность, Вт",,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,9,22.03.22 изменил название,,,"Общая мощность, Вт",,,,,,"Мощность, Вт",,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,9,22.03.22 изменил название,,,"Общая мощность, Вт",,,,,,Номин. мощность,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,9,22.03.22 изменил название,,,"Общая мощность, Вт",,,,,,Выход. Мощность,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,9,22.03.22 изменил название,55,334,"Общая мощность LED, Вт",,,"Суммарная мощность LED, Вт",,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,10,,56,335,"Мощность ленты на 1м, Вт/м",,,"Мощность ленты на один метр, Вт/м",,"Мощность 1м, Вт [POWER_1METR]",Мощность источников света на 1 метр погонный,,,,,,Автоматическая сортировка
Электрические,6,11,,,336,"Мощность модуля, Вт",,,,,"Мощность модуля, Вт [moshchnost_na_modul]",,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,12,,60,337,"Ток, А/м",,,,,"Ток, А/м [tok_am]",,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,13,03/22/2022,,338,"Номин. Ток, А",,,,,,Номин. Ток,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,14,,,339,"Максимальный ток, А",,,,,"Максимальный ток, А [max_tok]",,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Электрические,6,14,,65,340,"Максимальный ток на канал, А",,,,,"Максимальный ток на канал, А [max_tok_kanal]",,,,,Не отображать в общем фильтре,,Автоматическая сортировка
