Группа параметра,1 уровень,2 уровень,,id старый,id новый,Название,Maytoni,Ledron,LIGHTSTAR,MANTRA,SWG,Elevel,Isonex,,,Настройки-Параметры товаров-Отображать в навигации,Настройки-Параметры товаров-Не отображать в карточке товара,Настройки-Параметры товаров-Автоматическая сортировка
Основные,1,,,34,39,Тип люстры,,,Тип люстры,,,,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,35,40,Тип лампы,lamp_is_led,Тип лампы,Тип лампы,Совместимые типы ламп,,Тип источника света.,Тип лампы,,,,,Автоматическая сортировка
Основные,1,,,,,Тип лампы,,,,,,Тип лампы,,,,,,Автоматическая сортировка
Основные,1,,,,41,Тип ламп,,,,,,Тип ламп,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,42,Тип контактов,,,,,,Тип контактов,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,43,Тип контакта,,,,,,Тип контакта,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,44,Тип компонента/запасной части,,,,,,Тип компонента/запасной части,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,45,Тип комплектации,,,,,,Тип комплектации,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,46,Тип источника питания,,,,,,Тип источника питания,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,47,Тип изделия/компонента,,,,,,Тип изделия/компонента,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,48,Тип изделия,,,,,,Тип изделия,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,49,Тип датчика / щупа,,,,,,Тип датчика / щупа,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,50,Тип выключателя,,,,,,Тип выключателя,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,51,Тип включения/управления,,,,,,Тип включения/управления,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,52,Терминальный резистор,,,,,,Терминальный резистор,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,53,Считываемая температура,,,,,,Считываемая температура,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,54,Степень защиты (NEMA),,,,,,Степень защиты (NEMA),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,55,Способ присоединения экрана,,,,,,Способ присоединения экрана,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,56,Специальное применение,,,,,,Специальное применение,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,57,Сочетается с таймером/выключателем,,,,,,Сочетается с таймером/выключателем,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,58,Сочетается с передающей кнопкой,,,,,,Сочетается с передающей кнопкой,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,59,Сочетается с кнопкой,,,,,,Сочетается с кнопкой,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,60,Сочетается с дистанционным (инфракрасным) выключателем,,,,,,Сочетается с дистанционным (инфракрасным) выключателем,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,61,Сочетается с датчиком присутствия,,,,,,Сочетается с датчиком присутствия,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,62,Сочетается с датчиком движения,,,,,,Сочетается с датчиком движения,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,63,Соединение безгалогенового кабеля,,,,,,Соединение безгалогенового кабеля,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,64,Со сменной линзой/символом,,,,,,Со сменной линзой/символом,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,65,Со светодиодной (LED) индикацией,,,,,,Со светодиодной (LED) индикацией,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,66,Со световым датчиком (фотодатчиком),,,,,,Со световым датчиком (фотодатчиком),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,67,Со звуковой индикацией,,,,,,Со звуковой индикацией,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,68,Складывающ-ся,,,,,,Складывающ-ся,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,69,Сканируемый символ / безбарьерный (для людей с огранич. возможностями),,,,,,Сканируемый символ / безбарьерный (для людей с огранич. возможностями),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,70,Системно-ориентированная система соединения,,,,,,Системно-ориентированная система соединения,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,71,Сечение жил (суммарное) (до),,,,,,Сечение жил (суммарное) (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,72,Сечение жил (суммарное),,,,,,Сечение жил (суммарное),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,73,Сенсорная функция,,,,,,Сенсорная функция,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,74,Самоклеющ-ся,,,,,,Самоклеющ-ся,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,75,С циркуляцией горячей воды,,,,,,С циркуляцией горячей воды,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,76,С функцией памяти,,,,,,С функцией памяти,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,77,С сигнальной лампой (индикатором),,,,,,С сигнальной лампой (индикатором),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,78,С резьбовым кабельным вводом (сальником),,,,,,С резьбовым кабельным вводом (сальником),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,79,С пультом дистанционного управления,,,,,,С пультом дистанционного управления,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,80,С проходными функциями,,,,,,С проходными функциями,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,81,С приемником,,,,,,С приемником,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,82,С понижением температуры,,,,,,С понижением температуры,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,83,С полем для надписи,,,,,,С полем для надписи,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,84,С полем для маркировки,,,,,,С полем для маркировки,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,85,С подсветкой (индикация напряжения в сети),,,,,,С подсветкой (индикация напряжения в сети),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,86,С подсветкой,,,,,,С подсветкой,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,87,С памятью уровня освещенности,,,,,,С памятью уровня освещенности,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,88,С откидной крышкой,,,,,,С откидной крышкой,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,89,С отдельной подсветкой для чтения,,,,,,С отдельной подсветкой для чтения,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,90,С ориентационной подсветкой,,,,,,С ориентационной подсветкой,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,91,С монтажной решеткой,,,,,,С монтажной решеткой,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,92,С монтажной платой/панелью,,,,,,С монтажной платой/панелью,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,93,С миниатюрным предохранителем,,,,,,С миниатюрным предохранителем,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,94,С крышкой,,,,,,С крышкой,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,95,С комплектом для подключения/соединения,,,,,,С комплектом для подключения/соединения,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,96,С кабельным вводом,,,,,,С кабельным вводом,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,97,С защитой от пыли,,,,,,С защитой от пыли,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,98,С дисплеем,,,,,,С дисплеем,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,99,С диммером,,,,,,С диммером,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,100,С гнездами/разъемами,,,,,,С гнездами/разъемами,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,101,С выталкивателем,,,,,,С выталкивателем,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,102,С выключателем Вкл/Откл (On/Off),,,,,,С выключателем Вкл/Откл (On/Off),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,103,С выключателем,,,,,,С выключателем,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,104,С встроенным зарядным устройством USB,,,,,,С встроенным зарядным устройством USB,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,105,С встроенным аварийным блоком,,,,,,С встроенным аварийным блоком,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,106,С вводом для канала,,,,,,С вводом для канала,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,107,С астропрограммой,,,,,,С астропрограммой,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,108,Регулируемость,,,,,,Регулируемость,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,109,Регулируемое значение сумеречного освещения (до),,,,,,Регулируемое значение сумеречного освещения (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,110,Регулируемое значение сумеречного освещения,,,,,,Регулируемое значение сумеречного освещения,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,111,Регулируемая защита от солнца (до),,,,,,Регулируемая защита от солнца (до),,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,112,Регулируемая защита от солнца,,,,,,Регулируемая защита от солнца,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,113,Регулировочная характеристика,,,,,,Регулировочная характеристика,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,114,Рамка крышки,,,,,,Рамка крышки,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,115,Раздельное подключение заземления,,,,,,Раздельное подключение заземления,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,116,Присоединение,,,,,,Присоединение,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,117,Поключение дополнит. обогрева,,,,,,Поключение дополнит. обогрева,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,118,Подсветка,,,,,,Подсветка,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,119,Питание от батареек,,,,,,Питание от батареек,,,,Не отображать в общем фильтре,,Автоматическая сортировка
